,,,,,,,,,
,2026,2026,2026,2027,2027,2027,2028,2028,2028
Location,Funding US$,Pledges US$,Total,Funding US$,Pledges US$,Total,Funding US$,Pledges US$,Total
Afghanistan,"$152,369,906",$0,"$152,369,906","$51,477,589",$0,"$51,477,589","$27,125,463",$0,"$27,125,463"
Albania,"$574,754",$0,"$574,754","$134,005",$0,"$134,005","$50,499",$0,"$50,499"
Algeria,"$4,320,244",$0,"$4,320,244",$0,$0,$0,$0,$0,$0
Angola,"$814,662",$0,"$814,662","$109,538",$0,"$109,538",$0,$0,$0
Anguilla (United Kingdom),"$173,680",$0,"$173,680","$42,825",$0,"$42,825",$0,$0,$0
Argentina,$0,$0,$0,$0,$0,$0,$0,$0,$0
Armenia,"$253,466",$0,"$253,466","$52,192",$0,"$52,192","$65,589",$0,"$65,589"
Aruba (Netherlands),$0,$0,$0,$0,$0,$0,$0,$0,$0
Australia,$0,$0,$0,$0,$0,$0,$0,$0,$0
Austria,$0,$0,$0,$0,$0,$0,$0,$0,$0
Bangladesh,"$42,932,244",$0,"$42,932,244","$7,651,160",$0,"$7,651,160","$437,968",$0,"$437,968"
Barbados,"$183,500",$0,"$183,500","$60,282",$0,"$60,282",$0,$0,$0
Belgium,"-$528,179",$0,"-$528,179",$0,$0,$0,$0,$0,$0
Belize,"$264,941",$0,"$264,941","$65,328",$0,"$65,328",$0,$0,$0
Benin,"$1,736,386",$0,"$1,736,386","$152,989",$0,"$152,989",$0,$0,$0
Bhutan,$0,$0,$0,$0,$0,$0,$0,$0,$0
"Bolivia, Plurinational State of","$714,699","$173,410","$888,109","$110,579",$0,"$110,579",$0,$0,$0
Bosnia and Herzegovina,"$714,845",$0,"$714,845","$48,065",$0,"$48,065","$52,345",$0,"$52,345"
Brazil,"$4,599,866",$0,"$4,599,866","$49,420",$0,"$49,420",$0,$0,$0
Brunei Darussalam,$0,$0,$0,$0,$0,$0,$0,$0,$0
Burkina Faso,"$37,918,173","$270,756","$38,188,929","$15,295,040",$0,"$15,295,040","$9,390,071",$0,"$9,390,071"
Burundi,"$981,501",$0,"$981,501","$299,902",$0,"$299,902",$0,$0,$0
Cambodia,"$2,713,108",$0,"$2,713,108",$0,$0,$0,$0,$0,$0
Cameroon,"$23,163,267",$0,"$23,163,267","$2,294,107",$0,"$2,294,107",$0,$0,$0
Canada,"$146,951",$0,"$146,951",$0,$0,$0,$0,$0,$0
Central African Republic,"$22,371,501",$0,"$22,371,501","$1,976,384",$0,"$1,976,384",$0,$0,$0
Chad,"$33,276,488",$0,"$33,276,488","$3,651,647",$0,"$3,651,647","$705,072",$0,"$705,072"
Chile,"$169,076",$0,"$169,076",$0,$0,$0,$0,$0,$0
China,$0,$0,$0,$0,$0,$0,$0,$0,$0
Colombia,"$28,241,727",$0,"$28,241,727","$4,749,590",$0,"$4,749,590","$1,197,605",$0,"$1,197,605"
Comoros,"$52,127",$0,"$52,127","$8,425",$0,"$8,425",$0,$0,$0
Congo,"$2,134,472",$0,"$2,134,472",$0,$0,$0,$0,$0,$0
Costa Rica,$0,$0,$0,"$5,912",$0,"$5,912",$0,$0,$0
Cuba,"$4,827,457",$0,"$4,827,457","$929,082",$0,"$929,082",$0,$0,$0
Curaçao (Netherlands),$0,$0,$0,$0,$0,$0,$0,$0,$0
Côte d'Ivoire,"$1,870,835",$0,"$1,870,835","$122,006",$0,"$122,006","$7,805",$0,"$7,805"
Democratic Republic of the Congo,"$78,605,148",$0,"$78,605,148","$15,721,437",$0,"$15,721,437","$15,151,281",$0,"$15,151,281"
Denmark,$0,$0,$0,$0,$0,$0,$0,$0,$0
Djibouti,"$28,724",$0,"$28,724",$0,$0,$0,$0,$0,$0
Dominican Republic,"$1,945,702",$0,"$1,945,702","$251,128",$0,"$251,128",$0,$0,$0
Ecuador,"$3,227,230",$0,"$3,227,230","$23,088",$0,"$23,088",$0,$0,$0
Egypt,"$5,997,902",$0,"$5,997,902","$5,896,485",$0,"$5,896,485",$0,$0,$0
El Salvador,"$1,295,605",$0,"$1,295,605","$538,192",$0,"$538,192","$58,215",$0,"$58,215"
Eritrea,"$1,341,464",$0,"$1,341,464",$0,$0,$0,$0,$0,$0
Estonia,$0,$0,$0,$0,$0,$0,$0,$0,$0
Ethiopia,"$56,954,300",$0,"$56,954,300","$8,691,820",$0,"$8,691,820","$1,197,605",$0,"$1,197,605"
Fiji,"$125,252",$0,"$125,252","$24,210",$0,"$24,210",$0,$0,$0
Finland,$0,$0,$0,$0,$0,$0,$0,$0,$0
France,"$460,335",$0,"$460,335",$0,$0,$0,$0,$0,$0
Germany,$0,$0,$0,$0,$0,$0,$0,$0,$0
Ghana,"$860,352",$0,"$860,352","$199,755",$0,"$199,755","$162,341",$0,"$162,341"
Global,"$327,091,119","$112,502,451","$439,593,570","$63,623,983","$28,633,855","$92,257,838","$7,363,727","$28,633,855","$35,997,582"
Grenada,"$148,928",$0,"$148,928","$61,611",$0,"$61,611",$0,$0,$0
Guatemala,"$4,768,248",$0,"$4,768,248","$962,773",$0,"$962,773",$0,$0,$0
Guyana,"$150,110",$0,"$150,110","$137,774",$0,"$137,774","$173,704",$0,"$173,704"
Haiti,"$27,634,486","$376,879","$28,011,365","$4,365,152",$0,"$4,365,152","$2,395,210",$0,"$2,395,210"
Honduras,"$3,819,219",$0,"$3,819,219","$907,983",$0,"$907,983",$0,$0,$0
Iceland,$0,$0,$0,$0,$0,$0,$0,$0,$0
India,"$317,999",$0,"$317,999","$190,627",$0,"$190,627","$234,781",$0,"$234,781"
Indonesia,"$10,298,555",$0,"$10,298,555","$130,908",$0,"$130,908","$118,627",$0,"$118,627"
"Iran, Islamic Republic of","$1,822,559",$0,"$1,822,559","$278,623",$0,"$278,623",$0,$0,$0
Iraq,"$14,074,032",$0,"$14,074,032","$3,355,494",$0,"$3,355,494",$0,$0,$0
Ireland,$0,$0,$0,$0,$0,$0,$0,$0,$0
Italy,$0,$0,$0,$0,$0,$0,$0,$0,$0
Jamaica,"$553,517",$0,"$553,517","$87,168",$0,"$87,168",$0,$0,$0
Japan,$0,$0,$0,$0,$0,$0,$0,$0,$0
Jersey,$0,$0,$0,$0,$0,$0,$0,$0,$0
Jordan,"$14,819,924",$0,"$14,819,924","$3,744,116",$0,"$3,744,116","$236,969",$0,"$236,969"
Kazakhstan,$0,$0,$0,$0,$0,$0,$0,$0,$0
